Creator,Follower Count,Reel link,Views,# Shares ,"spoken: 

text: 

visual: ",Format,Intensity,Duration (sec),Audio,Funnel,CTA,Notes,Pillar,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27
,,https://www.instagram.com/reel/DTgtK6mAK9Q/,"1,474,287","8,890","spoken & text hook: Day 6 of posting a video where a tech CEO says something diabolically evil in broad daylight 

visual: he's in his car, center frame, closed captioning, skylight, parking lot. this one is slightly to the opposite side of him in his car - and it appears to be raining",Talking head,low,31,no backing audio,Attract,Follow for day 7!,"-rainy day in his car, camera slightly off center
Hook pre-loads the viewer with a moral interpretation before they see the clip.

Palmer Lucky
Co-Founder of Anduril
Live demo of Anduril's AI powered HUD helmets

let's see i see someone inside of a building every drone and every person now sees that person where he is it's so crazy that i was born at the right time to actually get to build all this stuff they're tracking where the bad guy is they're tracking where my guys are and then watch when they go behind the container so i can actually see through it and watch now they're engaging the guy over there and he's down",Skill,,,,,,,,,,,,,
@rosehoneymorgan,99.5K,https://www.instagram.com/reel/DS-whFtjVpk/,"2,754,469",10.1K,"spoken hook: i've decided to spend this year actually trying (fuck)
text hook: same as above, follows with her as she's speaking

visual hook: her in a robe, in her living room, stoic, no make up, blank expresson 
little bit of a crib in the background, bed, looks like sheets were just pulled off the bed to be washed, pillows on the floor",Relatable/Comedy,low intensity,49,fine line (instrumental) by kapa boy https://www.instagram.com/reels/audio/536271475169679/,Nurture,,"- very relatable
- addressed depression painpoints, lack of productivity
- directly addressed the audience ""how are you spice girl fans holding up""
- repetition on the doom scrolling, supported through the video with engaging footage
- footage (included screen recording of her feed-inviting people into her world) and messaging relatable and broad enough to bring people into her world 
- no pay off invites curiosity - makes people want to engage or follow to know more or see if she sticks with it ",Lifestyle,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTvBz8kjSgs/,"963,962",11K,"spoken: how are all the spice girls holding up?
Text hook: ""in defence of victoria beckham""
visual hook: she's getting ready - there's unblended foundation on her face, bright blue lipstick, and she's in a bath robe, her hair up",Talking head,medium,132,"it's muted but she tagged
say you'll be there - spice girls (instrumental) https://www.instagram.com/reels/audio/1073893392760980/",Nurture,,"- stays positioned center frame mostly the entire video
- opening shot is wide lens which makes it feel like you're there with her
- she also stopped in the middle of the video and said ""whoa i think i am getting an allergic reaction.. to this"" engaged the viewer to continue watching, see if she had a breakout from the make up, etc                              
- no transformation but gave a strong sense of who she was / her personality / tastes",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DSZp50XDTq9/,"766,333",7981,"spoken hook: ""this is everything my mother and i have shoved up our asses""",Relatable/Comedy,medium,24,no backing audio,Nurture,,"- the hook is just hilarious
- mother / daughter dynamic gives viewer stronger glipmse into her personality / life
- cuts to keep it engaging
- shorter duration",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DScQnMjjehD/,"417,408",184,"Text hook: ""showing Old Ma the reel I made about everything she's shoved up her ass""
visual hook: her mom in the kitchen, dog walked in on the background. makes you feel invited into her space like you know her",Reaction,low intensity,38,no backing audio,Nurture,message me your reels to send to her,"-  doubling down on what worked for her
- the footage is like her audience could probably see themselves at her house
- slice of both of their personalities - viewers likely to see their own mom in her content                                                                                                                              ",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTBV9qAja2n/,"248,678",502,"spoken & text hook: ""just to be clear i'm probably not going to stop doomscrolling"" 

Visual hook: her in her robe - keeping continuity with previous videos",Reaction,low intensity,28,need to shazam it ,Nurture,,"- continued successful series
- contuity with relatable pain point from last video - the doomscrolling
- overlays were funny and intentionally placed - this worked for me as well
- felt authentic - self improvement message clear
- mentioned aspirations in a relatable, humorous way
(everyone has considered or had the desire to be a creator at some point)
- continuity with opening shot from last time
- b roll of her baby laying on her chest whie scrolling captured glimpse of her life
- she has mastered a way to allow the viewer to see themselves in her",Lifestyle,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTDgG64jdNT/,"230,472",431,"Text hook: ""2026 is going to be my year
January 3rd:""

audio: i'm so tired of being here (amy lee)

visual hook: mug shot esque / burnt out half smile of her staring into the camera",Reaction,low intensity,5,my own immortal - evanescence https://www.instagram.com/reels/audio/25371777562509817/,Attract,,"-no cta but she uses a trending format 
- her half smile, confused, burnt out expression carries the video (even if the viewer is watching on mute)
- audio supports the emotion",Mindset,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DU1SYwOjZen/,"203,699","2,629","spoken: what did everyone get for valentine's day? you show me your's, i'll show you mine

Text hook: ""WORST GIFTS I GOT FOR VALENTINE'S DAY FROM MY FLATMATE (aka husband)""",Greenscreen,medium,58,no backing audio,Attract,"Not sure which is more offensive to be honest.
Anyone get something worse? Do tell…","- contrarian view  on valentine's day gifts 
- raw opinion / a bit of drama / funny roasting
- builds up story (pain -> pursuit -> payoff) the pain of receving an awkward gift, the pursuit of discovering hints its going to be interesting, payoff showing how it really is
there is a story arc there
- i also like how she mentioned the different shades of gold
- she seems aware of her demographic being women",Passions,,,,,,,,,,,,,
harrietjanebeal,88.9K,https://www.instagram.com/reel/DS9iGJJDPOu/,"10,219,771",151,"spoken hook (w/ closed captioning): ""as winter draw in i cannot lie, my thoughts chase the sunshine with the TUI ready to fly""",Talking head,med intensity,39,no backing audio,Convert,"""book with TUI for your perfect holiday""","- uses cuts to support what she's talking about
- i like her hook actually, she mentions the season which is on everyone's mind
- i like the TUI pool float also - it's a TUI ad and i just thought this was a good subtle touch
- short enough - sweet spot
- targetting families - b roll supports that with footage of her kids during previous vacations",Lifestyle,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DVVXH0UjB6J/,"4,248,540",518,"text hook: ""POV: you're just a mom that wants a holiday""",Skit-style,med intensity,39,no backing audio,Nurture,no CTA,"-she mixes formats (silent to some talking to split screen)
- i feel like this works because she's already built up a following around her family - like this is good fo rher followers
- it's an effective ad though, it leads with a story (story arc) blending real familiarity and authenticity (UGC) 
- silent is used to set the scene
- talking is used for the skit with her kids (build up)
- split screen is used to show options/amenities
- ""great even if you get hit with a ball"" - off the wall humor holds retention at the end of the video
- comments: ""i'm not even a mom"" (and i need a holiday)",Lifestyle,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DU3oPjTjImn/,"827,770",14K,"text hook: ""pov your child get their skin tone from their dad""

spoken: (audio)",Lip sync,low intensity,13,family guy audio ,Attract,no CTA,"- uses cuts to go back and forth from the focus on the child speaking over the audio to the mom responding
- relatable content that doesn't go too deep BTS - labeling this as an attract
- setting matches theme of the beach and TUI ads that also went viral",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DSvGxMGjGrE/,"688,800",13K,"text hook: ""when someone suggests you had enough fizz on xmas day""",Lip sync,low,22,trending speaking non music audio clip,Attract,no CTA,"-her expression matches the audio 
- she's holding a fancy glass
- made this a series, enciting profile traffic as well as enforcing consistency & recency
- i'm not british so the slang ""fizz"" caught my attention
- she pours champange and her attire feels like a xmas party
- lighting is a little cinematic - dark bkgd, focused, well lit subject",Lifestyle,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DVtuHjrAEt-/,"608,233",23.7K,"text hook: ""dropping wild threats when you're overstimulated AF like""

spoken: If you don't both stop and keep your hands to yourselves then I'm going to pull over on the side of the motorway, (0:03) push you out of the car and make you walk home without any directions.",Other,low,11,"first 3s is of her talking then beat drop into ""coming in hot"" transition",Attract,no CTA,"- her caption: ""i love this trend"" indicates this is an attract piece
- her first 3s talking is like a rant - and she's not looking at the camera so it hooks you in to see whast drama is going down, is she cursing out a drive thru staff?
- she's speaking to her kids, threatening telling them they are going to walk home if they don't behave
- there's a lot of contrast/contrarian here, public opinion on raising voice/disciplining kids varies - but everyone has their own opinions
this is controverial
but eveyrone in the comments indicated this is actually relatable as a parent
- used coming in hot as a transitional piece ",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTcxmScDBJJ/,"446,663",19K,"text hook: ""me checking on parental controls on my kids devices so they can't access inappropriate content""",Silent film / B-roll ,low intensity,33,kim by eminem,Attract,no CTA,"- this was a repost from a year ago - format consistently works
- it cuts to her playing with the toys, prtending to be juvenile again, with ""kim"" by eminem played over it. 
- i like that she used the footage this way - she just recreated the scene older, it still worked
- she plays on the controversial parenting theme while keeping it neutral enough to call out and connect with her target audience/avatar (older millenials who were 10 years old listneing to controversial eminem tracks, playing with barbies)",Passions,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DVbEkkBDIOR/,"351,317",13K,"text hook: ""telling chatgpt i'm abandoning my husband & kids for the single life in ibiza""

spoken:  Okay, I love this for you. This is the exact energy of someone who's ready to put themselves first (0:04) and work on in a piece. Good for you.",Talking head,low to medium,39,no backing audio,Nurture,,"- relatable, funny
- contrarian, calls out AI
- skit style with a story arc - keeps you watching - you want to see what's next
- cuts are very fluid
- cinematic background - dark with better lit subject",Mindset,,,,,,,,,,,,,
"npcfaizan

big talking head guy",,https://www.instagram.com/reel/DTtqi4Sj_Jc/,"2,862,361",38K,"spoken:  kai cent is trying to become a better speaker by reading out loud for 15 minutes at a time

text overlay: closed captioning

visual: he's sitting center frame in a chair, lower exposure, colder color grading, and within the first 3s he used a graphic overlay of kai cent's thumbnail",Talking head,medium,66s,no backing audio,Position,,"- thumbnail overlay 2s in during the hook
- cuts to reposition himself closer the camera 10s in
- continues to cut and reposition every 2-4s or so
- structured arc with no tangents",Skill,,,,,,,,,,,,,
,,https://www.instagram.com/reel/DTCC890kfik/,"1,540,162",17K,"spoken:  I made a decision about my life in 2025 that I believe has been the most impactful decision

text overlay: closed captioning

visual: sitting center frame in a chair, artificial light, he is sitting closer to the camera than his other videos, looks like he is in an office or school setting, with a desk behind him",Talking head,medium,66s,no backing audio,Attract,hope this helps someone. fulfilling potential requires boldness. be bold my friend,"- attract piece because he talks about his journey, transformation, and overcoming his ego as well as reconciling with the definition of ""potential"". 
- contrarian because the pain is being told you're extraodinrary all the time is a limiting belief, payoff is that he released himself from potential and stepped into action
- cuts bring him further away from the camera when he goes into ""a bit of context"" and ""by the way, i'm just going ot be honest with you"" he switches sides.almost kind of feels like a split screen like devil vs angel two different verisons of him are talking to you
- he then centers himself back into frame when he returns to the main messge
- reorients left/right depending on internal dialogue
- continues to make cuts throughout, bringing himself closer to the camera
- clear audio

Link to transcript",Mindset,,,,,,,,,,,,,
